CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
92686;Fullcarga;D LA MARI LA CISTERNA;CALLE VICUNA MACKENNA  1104 ;LA CISTERNA;;346598;6287132;-70.652798762512;-33.5446284928504
92691;Fullcarga;ERBI - AVENIDA PERU;AVENIDA PERU 845 - 855;RECOLETA;;347581;6300605;-70.639892555315;-33.4234321760233
92693;Fullcarga;ROSA FARIAS;CALLE ROUGET DE LISLE  1046 ;INDEPENDENCIA;;346268;6301996;-70.65402616;-33.41054545
92697;Fullcarga;DONDE TITO;CALLE BRASIL  9233 ;LA CISTERNA;;344583;6287576;-70.67463528;-33.54030581
92706;Fullcarga;BAZAR BUENA VENTURA RENCA;PSJE BUENAVENTURA  1112 ;RENCA;;339567;6302027;-70.725758;-33.409641
92707;Fullcarga;EL ESFUERZO RENCA;PSJE VENECIA   4811;RENCA;;340234;6302801;-70.71875411;-33.40240328
92711;Fullcarga;EL CHAMACO RENCA;PSJE PAN   6889;RENCA;;338135;6301921;-70.74146469;-33.41002199
92712;Fullcarga;ALMACEN MAR CRIS RENCA;CALLE CHORRILLOS  1272 ;RENCA;;338355;6302355;-70.73884129626529;-33.406257746396
92715;Fullcarga;EDUARDO LOPEZ;CALLE ISIDORO ERRAZURIZ   2263;INDEPENDENCIA;;344540;6302589;-70.6722857366893;-33.4050053183989
92721;Fullcarga;LAS MILBES RECOLETA;AVDA RECOLETA  628 ;RECOLETA;;347060;6300451;-70.64577791;-33.42468526
92722;Fullcarga;ANITA RECOLETA;AVDA GUANACO  4413 ;RECOLETA;;345877;6305354;-70.65751606;-33.38020893
92724;Fullcarga;LA ESTRELLITA RENCA;PSJE HERCULES   941;RENCA;;337789;6301892;-70.74506021;-33.41032457
92727;Fullcarga;JEHOVA YIRE RENCA;CALLE PASAJE UNO 5910;RENCA;;338677;6302772;-70.73472824418;-33.4021407471064
92728;Fullcarga;RENE SANCHEZ;JOSE READY 6220;SAN MIGUEL;;345183;6291099;-70.66766894;-33.50855406
92745;Fullcarga;DONDE LA ROSITA;PEDRO FONTOVA  4751;CONCHALI;;344467;6304915;-70.6721258333333;-33.3836766666667
92776;Fullcarga;LEO;DOCTOR ALFREDO YAZIGI 1687;CONCHALI;;344168;6304434;-70.6754144354839;-33.3879678225806
