CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
L1;METRO;PEDRO DE VALDIVIA;Avda. Providencia 1880;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;342712;6297075;-70.6923679557;-33.4542237258
L1;METRO;REPUBLICA;Avda. Libertador Bernardo O`Higgins 2275;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;350091;6300442;-70.6124338697;-33.424929207
L1;METRO;SALVADOR;Avda. Providencia 700;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345055;6297836;-70.6670369446;-33.44770483
L1;METRO;SAN PABLO L1;Avda. San Pablo 6190;LO PRADO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;339837;6298000;-70.723118;-33.445454
L1;METRO;SANTA LUCIA;Avda. Libertador Bernardo O´Higgins N°511;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;347075;6298440;-70.6452040233;-33.4425540356
L1;METRO;TOBALABA L1;Avda. Tobalaba 117;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;350977;6301143;-70.602792;-33.418722
L1;METRO;UNION LATINOAMERICANA;Avda. Libertador Bernardo O`Higgins 2841;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;344461;6297636;-70.673456434;-33.4494227802
L1;METRO;UNIVERSIDAD CATOLICA;Avda. Libertador Bernardo O`Higgins 270;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;347552;6298747;-70.6400308121;-33.4398533694
L1;METRO;UNIVERSIDAD DE CHILE;Avda. Libertador Bernardo O`Higgins 1020;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346605;6298298;-70.6502916805;-33.4437650271
L1;METRO;UNIVERSIDAD DE SANTIAGO;Avda. Libertador Bernardo O`Higgins Frente al 3702;ESTACION CENTRAL;Lunes a Viernes: 5:40 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;343267;6297239;-70.6863706043;-33.4528321137
L2;METRO;RONDIZZONI;Avenida General Rondizzoni 1650;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346111;6295384;-70.656665637344;-33.4702489243293
L2;METRO;SAN MIGUEL;Gran Avenida José Miguel Carrera Frente al 3806;SAN MIGUEL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346699;6293314;-70.6506872131484;-33.4889964032722
L2;METRO;SANTA ANA L2;Compañía de Jesús N°1625;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345864;6298817;-70.6587310579999;-33.4392550389999
L2;METRO;TOESCA;Toesca 1635;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345835;6297333;-70.658734104;-33.452351492
L2;METRO;VESPUCIO NORTE;Ignacio Carrera Pinto altura 661;RECOLETA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346929;6305281;-70.646175808;-33.381131836
L2;METRO;ZAPADORES;Avda. Recoleta 3754;RECOLETA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;347238;6304160;-70.642441;-33.390938
L2;METRO;CAL Y CANTO;General Mackenna 1100;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346405;6299495;-70.652228944;-33.4329460266
L2;METRO;CEMENTERIOS;Avda. Recoleta 1502;RECOLETA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;347172;6301622;-70.6436196881;-33.4138734859
L2;METRO;CERRO BLANCO;Avda. Recoleta 860;RECOLETA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;347065;6300666;-70.6449391713;-33.4224768455
L2;METRO;CIUDAD DEL NINO;Gran Avenida José Miguel Carrera Frente al 5940;SAN MIGUEL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346130;6290987;-70.656652699;-33.5096115457
L2;METRO;DEPARTAMENTAL;Gran Avenida José Miguel Carrera Frente al 5350;SAN MIGUEL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346291;6291715;-70.6547967444;-33.503069019
L2;METRO;DORSAL;Avda. Recoleta 3202;RECOLETA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;347224;6303516;-70.6427391035;-33.3968035324
L2;METRO;EINSTEIN;Avda. Einstein 601;RECOLETA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;347201;6302443;-70.6431782925;-33.4064773885
L2;METRO;EL LLANO;Gran Avda. Jose Miguel Carrera Frente al 3080;SAN MIGUEL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346782;6293993;-70.6491237338;-33.4825980382
L2;METRO;EL PARRON;Gran Avenida José Miguel Carrera 7958;LA CISTERNA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345717;6289106;-70.6614241284;-33.526513086
L2;METRO;FRANKLIN L2;Placer 1310;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346744;6294717;-70.6494014049;-33.476068318
L2;METRO;LA CISTERNA;Gran Avenida José Miguel Carrera 8870;LA CISTERNA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345454;6287830;-70.664475872;-33.5379710401
L2;METRO;LO OVALLE;Gran Avenida José Miguel  Carrera 6560 - 6559;LA CISTERNA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345943;6290139;-70.6588073333;-33.5172332353
L2;METRO;LO VIAL;Gran Avenida José Miguel Carrera Frente al 4688;SAN MIGUEL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346456;6292456;-70.652892795;-33.4964133763
L2;METRO;LOS HEROES L2;Avda. Libertador Bernardo O`Higgins 1774;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345548;6297979;-70.661705;-33.446487
L2;METRO;PARQUE O'HIGGINS;Avda. Manuel Antonio Matta 1704;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346028;6296395;-70.656821848;-33.4608418168
L2;METRO;PATRONATO;Avda. Recoleta 301;RECOLETA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346881;6299870;-70.6470530443;-33.4296286175
L3;METRO;FERNANDO CASTILLO VELASCO;AV. ALCALDE FERNANDO CASTILLO VELASCO 6831;LA REINA;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;355173;6297482;-70.558266;-33.45231
L3;METRO;PLAZA EGAÑA;IRARRAZAVAL 5738;ÑUÑOA;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;353938;6297337;-70.571569;-33.45345
L3;METRO;VILLA FREI;IRARRAZAVAL 4675;ÑUÑOA;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;353009;6297167;-70.581595;-33.454856
L3;METRO;CHILE ESPAÑA;IRARRAZAVAL 3227;ÑUÑOA;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;351549;6297112;-70.597308;-33.45515
L3;METRO;ÑUÑOA;IRARRAZAVAL 2461;ÑUÑOA;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;350837;6297230;-70.605515;-33.454277
L3;METRO;MONSEÑOR EYZAGUIRRE;MONSEÑOR EYZAGUIRRE 39;ÑUÑOA;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;350011;6297270;-70.613826;-33.453507
L3;METRO;IRARRAZAVAL;MATTA ORIENTE 240;ÑUÑOA;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;348700;6297111;-70.627946;-33.454762
L3;METRO;MATTA;SANTA ROSA 1088;SANTIAGO;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;347293;6296732;-70.64315;-33.457973
L3;METRO;PARQUE ALMAGRO;AV. SANTA ISABEL 1110;SANTIAGO;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;346601;6297432;-70.6504687;-33.4515666
L3;METRO;UNIVERSADAD DE CHILE;AV. LIBERTADOR BERNARDO O'HIGGINS 1020;SANTIAGO;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;346653;6298298;-70.650337;-33.444057
L3;METRO;PLAZA DE ARMAS;BANDERA 530;SANTIAGO;Lunes a Viernes: 5:50 a 23:05 horas, Sábados: 6:30 a 23:05 horas, Domingos y festivos: 8:00 a 22:50 horas.;346688;6299118;-70.649818;-33.436672
